# L=200000, N=100000, PBC, precision=1000, alpha=2.0 
# l    S1    S1_OP    S_alpha    S_alpha_OP(1)    sigma2 H2 navge_alpha S_alpha_OP(3) S_alpha_OP(4) S_alpha_OP(5) 
49147 4.293130012638080E+00 2.737544463104417E+00 3.252635368072463E+00 1.842176645924036E+00 1.314292999053331E+00 1.402851893506721E+00 2.457350000000000E+04 1.841953356569706E+00 1.841953356569706E+00 1.842065887273275E+00 
54316 4.318787988504207E+00 2.760244122310146E+00 3.271873894469920E+00 1.858504167646672E+00 1.322092087973537E+00 1.405794877920403E+00 2.715800000000000E+04 1.858282842814168E+00 1.858282842814168E+00 1.858394380583114E+00 
60029 4.342646377231288E+00 2.781367300983666E+00 3.289772284935114E+00 1.873701752921680E+00 1.329344168473116E+00 1.408529176925178E+00 3.001449999999999E+04 1.873482233001583E+00 1.873482233001583E+00 1.873592858545896E+00 
66342 4.364246957383643E+00 2.800504354919167E+00 3.305968424706377E+00 1.887473660917800E+00 1.335909957549651E+00 1.410979838509914E+00 3.317099999999999E+04 1.887255757116214E+00 1.887255757116214E+00 1.887365565863417E+00 
73319 4.383007092781317E+00 2.817134719742807E+00 3.320042566423176E+00 1.899444147098522E+00 1.341612353968771E+00 1.413109681236801E+00 3.665949999999999E+04 1.899227633285029E+00 1.899227633285029E+00 1.899336739548598E+00 
81029 4.398156606210144E+00 2.830570959980720E+00 3.331404614093754E+00 1.909117201799048E+00 1.346217253817405E+00 1.414818252319302E+00 4.051449999999999E+04 1.908901801264994E+00 1.908901801264994E+00 1.909010344896338E+00 
89550 4.408670146695258E+00 2.839898955640578E+00 3.339286072443806E+00 1.915833517349357E+00 1.349412986512890E+00 1.415995337482210E+00 4.477499999999999E+04 1.915618884624506E+00 1.915618884624506E+00 1.915727040219603E+00 
98969 4.413137518986907E+00 2.843863420699916E+00 3.342640214666272E+00 1.918688216848943E+00 1.350770904659773E+00 1.416502106633448E+00 4.948449999999999E+04 1.918473909226951E+00 1.918473909226951E+00 1.918581900528547E+00 
100000 4.413181235732284E+00 2.843902218836718E+00 3.342669411548364E+00 1.918716153430400E+00 1.350784192313087E+00 1.416501854265249E+00 4.999999999999999E+04 1.918501848970140E+00 1.918501848970140E+00 1.918609838669739E+00 

